frequency_mode,seed,K,sigma_omega,rho,max_delta,Lambda_K,eta,t_f_num,phi_bar_tf,T_eta_pred,T_eta_sim,relative_error,fast_threshold_reached,hitting_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,0,9.0,0.2,0.05880272685733683,0.5292245417160315,0.004447796678812108,0.82,0.1364256480218281,0.8497065669506795,13.561928291720548,13.570702852198913,0.0006465811368748019,True,True,3.3306690738754696e-15,5.39728484127977e-10
gaussian,0,9.0,0.24,0.0705632722288042,0.6350694500592378,0.006406956277022813,0.82,0.0,0.8499999999999999,9.41253222116409,9.424716600385548,0.001292811204631753,True,True,1.1435297153639112e-14,5.82482506672477e-10
gaussian,0,9.0,0.28,0.08232381760027156,0.740914358402444,0.008724009628058823,0.82,0.0,0.8499999999999999,6.912610710917492,6.924821525754793,0.0017633400069426751,True,True,5.995204332975845e-14,6.552528519776502e-10
gaussian,0,9.0,0.32,0.0940843629717389,0.8467592667456502,0.011399804091328713,0.82,0.0,0.8499999999999999,5.290063049674547,5.302294937648224,0.0023069044852306944,True,True,2.220446049250313e-16,7.402602975048467e-10
gaussian,0,9.0,0.36,0.10584490834320628,0.9526041750888565,0.01443532197322518,0.82,0.0,0.85,4.177647198235183,4.189892770888093,0.0029226458342785843,True,True,3.6637359812630166e-15,9.463656525099395e-10
gaussian,0,10.5,0.2,0.050402337306288715,0.5292245417160315,0.003811633908116984,0.82,0.1364256480218281,0.8497483352095487,15.824747302564022,15.831870055514097,0.00044989965968005117,True,True,3.4139358007223564e-15,5.400891955886777e-10
gaussian,0,10.5,0.24,0.06048280476754645,0.6350694500592378,0.005490092134847039,0.82,0.0,0.8499999999999999,10.984457257882966,10.994876361303593,0.0009476326134323192,True,True,3.608224830031759e-15,5.709362982386779e-10
gaussian,0,10.5,0.28,0.0705632722288042,0.740914358402444,0.007474782323193299,0.82,0.0,0.8499999999999999,8.067884760997773,8.078327986784098,0.0012927459498314473,True,True,1.2656542480726785e-14,6.264594398786016e-10
gaussian,0,10.5,0.32,0.08064373969006192,0.8467592667456502,0.009766236061284897,0.82,0.0,0.8499999999999999,6.174915496475581,6.185378449100204,0.0016915622400025042,True,True,5.517808432387028e-14,7.029297144356406e-10
gaussian,0,10.5,0.36,0.09072420715131967,0.9526041750888565,0.012365068826562867,0.82,0.0,0.8499999999999999,4.877100422402581,4.887579913093032,0.0021441062605192835,True,True,3.6637359812630166e-15,8.333951306838117e-10
gaussian,0,12.0,0.2,0.04410204514300262,0.5292245417160315,0.003334746530800784,0.82,0.1364256480218281,0.8497796119611721,18.087179519858708,18.09311337956572,0.0003279623347585629,True,True,3.4416913763379853e-15,5.411463499527258e-10
gaussian,0,12.0,0.24,0.05292245417160315,0.6350694500592378,0.004802931609796217,0.82,0.1364256480218281,0.8496826251523452,12.55917672380561,12.5651143775212,0.00047255070962281826,True,True,3.608224830031759e-15,5.662100788228486e-10
gaussian,0,12.0,0.28,0.06174286320020367,0.740914358402444,0.006538767140687102,0.82,0.0,0.85,9.222790948131234,9.231910343176061,0.0009878123493224718,True,True,3.1086244689504383e-15,6.062436108678071e-10
gaussian,0,12.0,0.32,0.07056327222880418,0.8467592667456502,0.008542608369363764,0.82,0.0,0.8499999999999999,7.059399165873057,7.068536920618178,0.0012927363678992174,True,True,1.4432899320127035e-14,6.628381177264941e-10
gaussian,0,12.0,0.36,0.0793836812574047,0.9526041750888565,0.010814866270650425,0.82,0.0,0.85,5.576183827693328,5.585337680987359,0.0016389077647338095,True,True,5.395683899678261e-14,7.566602899800046e-10
gaussian,1,6.0,0.2,0.1025743656858552,0.6154461941151312,0.0066808137997253735,0.82,0.0,0.85,9.026697076865984,9.006593085068058,0.002232141677551351,True,True,1.942890293094024e-16,5.684369641656417e-10
gaussian,1,6.0,0.24,0.12308923882302625,0.7385354329381575,0.00962940021281636,0.82,0.0,0.85,6.2626623740077205,6.241928630521965,0.0033216886499424316,True,True,3.094746681142624e-15,6.454179413140082e-10
gaussian,1,6.0,0.28,0.1436041119601973,0.8616246717611837,0.013121276832274407,0.82,0.0,0.8499999999999999,4.596022412143066,4.574610612115939,0.00468057324276241,True,True,2.7755575615628914e-16,8.115706995326377e-10
gaussian,1,6.0,0.32,0.16411898509736833,0.98471391058421,0.017160112172904977,0.82,0.0,0.85,3.5142941834778236,3.4921544165260556,0.0063398590987257435,True,True,6.661338147750939e-16,1.055402321092913e-09
gaussian,1,6.0,0.36,0.18463385823453934,1.107803149407236,0.021750199965971807,0.82,0.0,0.8499999999999999,2.7726495614484006,2.7497303544230616,0.008335074378646785,True,True,2.886579864025407e-15,1.0965554020359036e-09
gaussian,1,7.5,0.2,0.08205949254868417,0.6154461941151312,0.005340563663030556,0.82,0.0,0.85,11.292007024375755,11.276388994366096,0.001385020507669764,True,True,3.108624468950438e-14,5.50862022663523e-10
gaussian,1,7.5,0.24,0.098471391058421,0.7385354329381575,0.007695013890433945,0.82,0.0,0.8499999999999998,7.836981616373108,7.820993588098016,0.002044245158239522,True,True,3.3584246494910985e-15,6.043618938633699e-10
