frequency_mode,seed,K,sigma_omega,rho,Lambda_K,D_meas,D_meas_over_Lambda_K,relative_drift_error,t_f_num,fast_threshold_reached,locked_profile_residual,sphere_norm_error
gaussian,3,8.0,0.24,0.08914448332849356,0.0072122228338172036,0.007190752043865881,0.9970229996429605,0.0029770003570395165,0.0,True,5.134781488891349e-16,5.533401514767888e-10
gaussian,3,10.0,0.16,0.047543724441863236,0.002561232857948208,0.002559703874298358,0.9994030282544967,0.0005969717455033274,0.12229016120066703,True,1.8041124150158794e-16,5.166775896014997e-10
gaussian,3,10.0,0.2,0.05942965555232904,0.004003011707983605,0.003998694851422453,0.9989215978178274,0.0010784021821725887,0.12229016120066703,True,1.2212453270876722e-15,5.256117763252632e-10
gaussian,3,10.0,0.24,0.07131558666279485,0.005766249650015782,0.005756062977936212,0.998233397320988,0.0017666026790119638,0.0,True,9.880984919163893e-15,5.418406834323264e-10
gaussian,3,12.0,0.16,0.03961977036821936,0.002134046561198687,0.0021332061883692984,0.9996062068913264,0.0003937931086736013,0.12229016120066703,True,5.551115123125783e-17,5.22428544869058e-10
gaussian,3,12.0,0.2,0.0495247129602742,0.0033350753352255668,0.0033327281498533833,0.9992962121882549,0.0007037878117450713,0.12229016120066703,True,2.220446049250313e-16,5.305139660904956e-10
gaussian,3,12.0,0.24,0.05942965555232904,0.004803614049580321,0.004798089089292561,0.9988498325988029,0.0011501674011971108,0.12229016120066703,True,1.6653345369377348e-15,5.4703552798685e-10
gaussian,4,8.0,0.16,0.04421204712961678,0.0032017680224859756,0.0032003848648326947,0.9995680019153271,0.0004319980846728688,0.12229016120066703,True,3.191891195797325e-16,5.071669750833507e-10
gaussian,4,8.0,0.2,0.055265058912020965,0.0050043191657416376,0.005000375362504331,0.9992119201220607,0.0007880798779392739,0.12229016120066703,True,1.2212453270876722e-15,5.230147426260601e-10
gaussian,4,8.0,0.24,0.06631807069442516,0.007208963088787997,0.007199680728590655,0.9987123862221214,0.0012876137778785601,0.0,True,9.325873406851315e-15,5.503153488461976e-10
gaussian,4,10.0,0.16,0.035369637703693425,0.002560904864983217,0.0025602445812849556,0.9997421678144746,0.00025783218552544174,0.12229016120066703,True,1.1102230246251565e-16,5.144381587385283e-10
gaussian,4,10.0,0.2,0.04421204712961677,0.0040022100281074694,0.004000345481525533,0.9995341207560717,0.00046587924392826885,0.12229016120066703,True,1.249000902703301e-16,5.237001943214636e-10
gaussian,4,10.0,0.24,0.05305445655554013,0.005764584959983259,0.00576018346239623,0.9992364588920827,0.0007635411079173204,0.12229016120066703,True,9.992007221626409e-16,5.458474783281986e-10
gaussian,4,12.0,0.16,0.029474698086411188,0.0021338568681762825,0.0021334940092669016,0.9998299516172839,0.00017004838271605927,0.12229016120066703,True,2.914335439641036e-16,5.214935150377187e-10
gaussian,4,12.0,0.2,0.03684337260801398,0.003334611850012977,0.003333598139092857,0.9996960033234105,0.0003039966765895352,0.12229016120066703,True,2.220446049250313e-16,5.255230695055957e-10
gaussian,4,12.0,0.24,0.04421204712961677,0.004802652033728963,0.004800265930063947,0.9995031695720907,0.0004968304279092672,0.12229016120066703,True,1.6653345369377348e-16,5.41683364829737e-10
